"JP105F7W"	"JP51F7W"	"JP64F7W"	"JP66F7W"	"JP77F7W"	"JP166F7W"	"JP258F7W"	"JP257F7W"	"JP190F7W"	"JP23F7W"	"JP31F7W"	"JP117F7W"	"JP110F7W"	"JP411F7W"	"JP124F7W"	"JP104F7W"	"JP136F7W"	"JP9F7W"	"JP260F7W"	"JP81F7W"	"JP10F7W"	"JP403F7W"	"JP401F7W"	"JP129F7W"	"JP133F7W"	"JP20F7W"	"JP106F7W"	"JP103F7W"	"JP146F7W"	"JP45F7W"	"JP165F7W"	"JP48F7W"	"JP205F7W"	"JP83F7W"	"JP410F7W"	"JP119F7W"	"JP24F7W"	"JP221F7W"	"JP108F7W"	"JP78F7W"	"JP112F7W"	"JP116F7W"	"JP16F7W"	"JP409F7W"	"JP160F7W"	"JP3F7W"	"JP18F7W"	"JP131F7W"	"JP111F7W"	"JP107F7W"	"JP259F7W"	"JP39F7W"	"JP222F7W"	"JP22F7W"	"JP118F7W"	"JP97F7W"	"JP38F7W"	"JP187F7W"	"JP132F7W"	"JP201F7W"	"JP76F7W"	"JP102F7W"	"JP5F7W"	"JP59F7W"	"JP151F7W"	"JP88F7W"	"JP30F7W"	"JP43F7W"	"JP82F7W"	"JP67F7W"	"JP71F7W"	"JP162F7W"	"JP27F7W"	"JP120F7W"	"JP84F7W"	"JP123F7W"	"JP121F7W"	"JP156F7W"	"JP139F7W"	"JP114F7W"	"JP21F7W"	"JP11F7W"	"JP13F7W"	"JP223F7W"	"JP86F7W"	"JP2F7W"	"JP155F7W"	"JP1F7W"	"JP154F7W"	"JP159F7W"	"JP182F7W"	"JP12F7W"	"JP15F7W"	"JP202F7W"	"JP141F7W"	"JP406F7W"	"JP89F7W"	"JP19F7W"	"JP101F7W"	"JP184F7W"	"JP53F7W"	"JP186F7W"	"JP185F7W"	"JP85F7W"	"JP17F7W"	"JP98F7W"	"JP75F7W"	"JP33F7W"	"JP25F7W"	"JP163F7W"	"JP169F7W"	"JP74F7W"	"JP55F7W"	"JP130F7W"	"JP183F7W"	"JP58F7W"	"JP170F7W"	"JP4F7W"	"JP44F7W"	"JP72F7W"	"JP224F7W"	"JP79F7W"	"JP152F7W"	"JP137F7W"	"JP87F7W"	"JP153F7W"	"JP29F7W"	"JP99F7W"	"JP172F7W"	"JP157F7W"	"JP138F7W"	"JP63F7W"	"JP173F7W"	"JP191F7W"	"JP253F7W"	"JP52F7W"	"JP6F7W"	"JP206F7W"	"JP158F7W"	"JP70F7W"	"JP181F7W"	"JP192F7W"	"JP56F7W"	"JP57F7W"	"JP54F7W"	"JP174F7W"	"JP60F7W"	"JP73F7W"	"JP177F7W"	"JP62F7W"	"JP179F7W"	"JP189F7W"	"JP188F7W"	"JP69F7W"	"161FW6"	"454FW6"	"455FW6"	"451FW8"	"109FW7"	"113FW7"	"8FW6"	"402F7W"	"198FW7"	"145F7W"	"454FW8"	"199FW7"	"171FW6"	"144F7W"	"164FW6"	"65FW7"	"68FW7"	"200FW7"	"455FW8"
"New.0.ReferenceOTU237"	32	10	0	0	0	0	0	1	0	0	0	9	13	2	3	15	13	0	4	4	0	2	7	11	5	0	21	31	15	0	2	0	2	0	4	3	0	0	15	0	33	24	0	4	2	2	10	1	20	19	4	0	0	4	5	0	0	3	8	2	3	28	5	0	0	0	3	3	0	0	0	0	0	0	2	7	4	0	14	13	0	0	0	0	1	0	0	0	0	0	2	0	1	7	6	3	3	0	13	5	1	4	1	0	7	0	0	5	0	0	0	0	1	8	0	0	0	0	6	0	0	0	0	9	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	8	0	12	0	0	0	20	0	0	1	2	0
"91557"	169	143	1	0	0	0	0	0	0	1	41	123	153	25	107	161	89	1	86	10	0	23	19	140	122	0	164	221	86	6	2	35	22	24	68	40	0	2	141	8	186	210	0	67	4	3	39	89	164	118	69	21	6	19	26	0	14	21	95	12	10	155	3	4	0	5	19	21	19	0	0	10	6	40	7	145	38	0	59	92	0	1	1	4	9	4	0	0	0	7	21	0	3	64	60	24	4	16	66	54	14	51	1	26	19	0	0	17	1	5	0	0	13	38	0	0	0	1	77	0	1	0	0	59	5	0	10	0	0	0	39	0	0	0	0	0	0	37	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	32	3	11	23	0	92	0	0	12	100	4	0	4	5	0
"122049"	22	9	0	1	1	0	0	0	0	1	3	5	33	3	14	12	3	1	11	4	1	1	0	7	16	1	17	38	9	0	7	3	1	1	7	9	1	0	22	3	24	41	0	7	11	1	2	9	25	6	11	1	0	2	13	0	2	2	12	0	4	26	4	1	0	0	5	6	0	0	0	5	0	20	2	27	9	0	5	10	0	0	5	0	2	3	0	2	0	6	4	0	1	17	4	3	1	0	10	5	1	6	0	3	2	0	0	2	1	8	0	0	3	4	0	0	0	0	7	0	0	0	0	3	3	0	1	0	0	0	1	0	0	0	0	0	2	5	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	8	0	0	0	3	2	13	7	0	15	0	0	13	15	7	0	0	12	0
"437137"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	3	0	0	10	0	4	14	0	0	0	0	0	2	14
"1105376"	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	1485	0	0	0	0	0	0	0	274	0	0	1	0	0	0	0	0	0	0	827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1559	0	0	1032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1105919"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"136025"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4386317"	0	2	0	1	1	0	0	0	0	3	5	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	3	2	3	1	0	0	0	2	0	0	4	0	0	3	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	4	0	0	0	3	0	0	1	0	0	0	3	1	0	1	1	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	3	1	0	0	2	7	0	0	0	2	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0
"278650"	0	1	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	125	0	0	0	0	0	482	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	606	0	21	0	0	449	160	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"New.0.ReferenceOTU315"	0	0	0	0	1	0	7	3	2	0	0	0	1	0	0	0	0	0	53	0	0	0	0	0	1	0	2	1	0	472	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	137	33	0	0	0	3	442	0	1	0	1	0	0	0	0	2891	0	0	1673	1	0	0	0	0	344	1	0	0	0	0	0	0	0	0	522	0	0	0	0	0	57	0	0	0	0	0	1739	0	0	148	1	509	475	843	1	2	0	0	2	0	0	0	0	0	70	0	0	0	0	0	0	0	1	0	7	0	0	1	0	0	0	0	0	93	3	0	1	0	0	0	0	59	0	1	0	0	1	0	0	0	1	50	11	0	0	159	83	96	0	1	0	0	43	0	20	63	0	0	1	0	0	1	69
"178735"	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	24	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"681370"	0	0	26	823	11	0	447	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0	0	0	0	0	0	0	0	59	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	17	0	0	0	7	58	0	0	0	0	0	0	0	61	0	57	0	0	0	0	0	184	55	0	0	54	131	0	234	0	0	0	0	139	148	0	0	0	0	21	60	20	39	75	61	0	0	0	55	0	0	19	0	31	0	0	41	0	0	11	0	0	0	176	120	23	0
"New.0.ReferenceOTU216"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	229	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU52139"	0	0	0	0	0	133	7	4	5	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	168	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	42	0	0	0	36	0	0	0	0	0	0	0	0	0	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"288521"	0	11	0	0	0	5	12	2	0	1	0	9	0	0	7	0	0	6	3	0	8	0	0	0	0	13	0	0	0	3	0	3	0	3	5	4	3	0	0	0	0	0	4	2	0	4	12	0	0	0	4	8	0	2	3	40	7	0	0	0	0	0	11	7	5	4	0	0	1	0	0	0	1	3	2	11	1	1	0	0	3	5	5	0	1	4	2	4	13	0	0	4	3	7	3	0	0	6	0	5	1	9	1	7	7	5	0	0	1	0	5	0	3	0	7	0	0	9	0	0	0	0	3	0	1	9	1	17	3	6	4	0	32	4	6	6	9	0	1	0	0	7	5	2	19	2	0	0	0	0	0	2	1	0	0	0	0	3	17	21	16	0	7	0	0	15	0	0	0	0	5	7	0
"4354103"	0	9	18	32	0	10	12	8	7	6	0	0	0	0	0	0	0	14	8	14	10	0	0	0	0	6	0	0	0	0	4	0	0	4	10	0	4	6	0	1	0	0	1	0	16	9	7	0	0	0	16	14	8	2	3	71	7	1	0	0	7	0	5	7	6	1	0	0	1	15	19	1	0	2	3	0	0	3	0	0	2	4	3	4	3	1	8	4	21	2	2	5	3	0	0	0	0	0	0	8	3	10	2	8	5	20	6	0	0	2	9	8	1	0	16	0	7	9	0	49	13	5	19	0	1	13	2	49	3	0	0	22	43	26	14	21	10	0	5	17	31	15	9	2	11	18	14	24	14	24	2	0	3	0	29	66	59	4	53	26	34	0	16	0	20	14	31	0	44	48	49	12	30
"324888"	0	1	2	5	0	1	2	1	1	0	0	0	0	0	0	0	0	1	1	4	1	0	0	0	0	1	0	0	0	0	1	0	0	1	3	0	2	1	0	0	0	0	4	0	1	1	3	0	0	0	2	1	0	0	1	12	2	0	0	0	2	0	2	2	0	0	0	0	1	1	3	0	0	1	2	0	0	0	0	0	1	0	2	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	2	1	2	2	1	4	1	2	0	1	0	1	3	0	0	2	0	3	1	0	4	1	0	4	0	0	2	0	6	2	0	0	3	6	2	3	2	0	0	0	2	5	3	1	1	1	0	1	4	0	5	1	0	2	0	0	3	1	0	6	4	7	0	0	0	0	0	5	0	1	0	6	0	0
"539647"	0	13	25	27	0	22	17	6	6	4	0	0	0	0	0	0	0	7	10	11	2	0	0	1	0	4	0	0	0	0	5	0	0	2	6	1	5	7	0	0	0	0	1	0	13	13	16	0	0	0	9	12	3	5	0	85	4	0	0	0	3	0	14	10	7	3	0	0	0	24	21	2	1	0	11	0	1	2	0	0	4	5	4	5	3	3	16	7	46	2	2	6	3	0	0	0	1	0	0	4	3	7	1	17	12	8	10	0	2	4	15	16	0	0	18	1	8	18	0	32	8	3	28	0	2	11	0	61	13	5	0	28	48	27	22	23	8	0	2	18	22	29	16	5	30	10	19	33	14	22	4	0	2	0	28	59	52	3	56	32	70	0	33	0	29	27	42	0	58	69	55	28	33
"340960"	0	2	0	0	0	2	3	0	3	0	0	0	0	0	0	0	0	2	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	5	0	3	0	0	0	0	0	7	0	0	13	3	0	0	0	1	2	0	0	0	57	0	0	0	0	0	0	14	0	2	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	2	2	1	0	0	1	6	0	5	0	0	0	3	0	0	0	0	0	0	4	0	2	1	2	3	5	0	0	0	0	3	0	0	0	5	0	0	6	0	2	0	0	9	0	0	3	0	17	2	1	0	0	21	3	3	4	2	0	0	0	1	4	0	1	6	8	0	0	0	0	0	0	0	0	0	3	0	11	87	15	66	0	24	0	0	8	0	0	0	0	44	15	0
"4397402"	0	24	24	47	1	11	11	7	9	1	0	0	0	0	0	0	0	15	11	9	6	0	0	0	0	5	0	0	0	0	1	0	0	6	12	1	7	4	0	0	0	0	1	0	11	7	19	0	0	0	20	11	2	6	4	99	10	0	0	0	7	0	8	8	11	2	1	0	2	16	29	1	1	6	12	0	0	3	0	0	4	4	5	12	1	4	14	4	40	3	1	2	5	0	0	0	0	2	0	6	8	11	4	19	10	12	15	0	0	0	11	12	0	0	29	1	4	15	0	51	9	3	15	0	2	12	3	45	6	2	0	16	38	17	17	10	10	0	4	12	42	35	12	5	21	10	24	30	12	22	1	1	1	0	25	92	86	6	92	31	59	0	20	0	23	8	54	0	33	50	62	10	37
"344703"	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	1	1	2	0	0	0	0	0	1	1	0	0	0	1	1	0	1
"549756"	0	1	0	1	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	6	0	1	0	3	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	2	0	1	0	1	0	0	0	1	2	0	0	0	0	1	3	2	0	5	1	3	0	2	0	1	3	4	0	0	2	1	0	0
"4428313"	0	219	401	1098	12	165	272	136	126	68	0	0	0	0	0	0	0	245	171	255	78	0	0	1	0	105	0	0	0	1	28	0	0	62	129	24	101	143	0	2	0	0	109	0	176	150	320	0	0	0	380	210	80	116	38	1639	306	8	0	1	129	0	191	137	178	78	6	2	65	366	539	16	27	82	152	1	12	107	0	0	52	104	114	209	27	94	251	55	726	48	37	88	62	0	0	0	16	39	0	141	109	209	56	257	183	261	144	2	27	17	142	290	20	0	454	20	108	211	0	777	224	39	384	0	23	221	42	798	174	90	0	450	639	523	363	267	162	0	67	333	516	386	152	98	319	201	313	475	207	427	39	21	27	2	523	2009	1818	68	1667	573	1062	2	497	0	655	268	1049	0	866	1143	1349	413	803
"1756274"	3	0	0	0	0	0	0	0	0	0	2	1	2	0	0	1	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0	2	0	0	1	0	5	1	0	4	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	17	6	24	0	0	1	0	0	3	0	7	0	7	3	0
"152485"	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	11	0	0	0	8	0
"138389"	44	10	0	0	0	0	0	0	0	1	42	57	31	3	2	13	12	6	0	3	2	0	2	1	79	0	28	18	33	1	5	0	0	3	6	7	3	5	16	0	47	47	3	3	5	12	19	2	46	40	0	12	0	2	8	0	21	0	46	0	0	26	26	1	0	1	2	0	0	0	0	2	0	14	1	59	15	0	5	12	0	0	1	0	2	20	0	6	0	14	2	0	2	0	7	9	1	7	8	6	1	16	0	1	12	0	0	23	1	9	0	0	0	6	0	0	0	18	0	0	0	0	0	2	1	1	6	0	0	0	4	0	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	91	88	101	2	0	22	0	0	33	25	30	0	29	22	0
"1033413"	1	2	0	0	0	1	0	0	0	0	0	6	5	0	0	0	1	0	0	0	0	5	0	0	1	0	3	0	1	0	2	0	0	0	1	0	0	0	0	0	4	10	0	0	2	1	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	3	0	0	0	1	0	0	0	0	5	0	0	0	21	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	2	0	2	0	0	1	0
"303652"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4425214"	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0
"115186"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	1	0	0	0	0	0	0	0
"4312974"	0	0	0	1	1	0	1	0	1	0	7	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	4	0	0	0	0	22	0	75	0	0	191	0	9	159	0	0	0	0	1	82	2
"4323284"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	1	0
"519673"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"70830"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"214919"	0	0	0	0	2	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	16	0	0	0	0	45	3	0	0	0	0	0	0	21	0	9	0	0	0	1	2	0	0	0	0	0	0	0	0	77	0	0	0	101	0	0	10	0	363	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
